trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
"48,True,""{'a': 0, 'e': 0}"",25,19,11.929042185933179,""{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"49,True,""{'a': 0, 'e': 0}"",20,11,17.266560499105314,""{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"50,True,""{'a': 0, 'e': 0}"",20,0,31.014629276883472,""{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"51,True,""{'a': 0, 'e': 0}"",20,12,16.445101649985013,""{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"52,True,""{'a': 0, 'e': 0}"",25,11,24.920973415989852,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"53,True,""{'a': 0, 'e': 0}"",30,10,35.84916268567056,""{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"54,True,""{'a': 0, 'e': 0}"",25,9,28.15496682141834,""{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"55,True,""{'a': 0, 'e': 0}"",30,14,29.592494699036617,""{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"56,True,""{'a': 0, 'e': 0}"",20,0,28.587726271698294,""{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}"",0"
"57,True,""{'a': 0, 'e': 0}"",20,12,13.723148741216264,""{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"58,True,""{'a': 0, 'e': 0}"",25,16,18.922249015813403,""{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"59,True,""{'a': 0, 'e': 0}"",20,9,23.620031085005238,""{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"60,True,""{'a': 0, 'e': 0}"",20,12,16.854730670140086,""{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"61,True,""{'a': 0, 'e': 0}"",20,11,15.211909755737796,""{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"62,True,""{'a': 0, 'e': 0}"",20,7,24.894567282707136,""{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"63,True,""{'a': 0, 'e': 0}"",20,10,15.489946232723371,""{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"64,True,""{'a': 0, 'e': 0}"",25,15,18.7515412939787,""{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"65,True,""{'a': 0, 'e': 0}"",25,10,27.959240219791873,""{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"66,True,""{'a': 0, 'e': 0}"",35,19,28.12604522905692,""{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"67,True,""{'a': 0, 'e': 0}"",30,0,44.58905445477997,""{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}"",0"
"68,True,""{'a': 0, 'e': 0}"",30,4,41.49413614249377,""{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"69,True,""{'a': 0, 'e': 0}"",25,14,18.774073026452136,""{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"70,True,""{'a': 0, 'e': 0}"",30,10,36.879374526130704,""{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"71,True,""{'a': 0, 'e': 0}"",25,11,29.521291348876968,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"72,True,""{'a': 0, 'e': 0}"",20,10,19.22482221975135,""{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"73,True,""{'a': 0, 'e': 0}"",20,9,14.201995936435297,""{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"74,True,""{'a': 0, 'e': 0}"",25,8,27.978848094402505,""{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"75,True,""{'a': 0, 'e': 0}"",20,14,11.863472188431944,""{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"76,True,""{'a': 0, 'e': 0}"",25,11,26.911816569777542,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"77,True,""{'a': 0, 'e': 0}"",20,1,25.809486026989212,""{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"78,True,""{'a': 0, 'e': 0}"",25,15,19.252304463813783,""{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"79,True,""{'a': 0, 'e': 0}"",30,16,25.31322651152009,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"80,True,""{'a': 0, 'e': 0}"",30,15,28.67094859602267,""{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"81,True,""{'a': 0, 'e': 0}"",20,7,28.408119606995403,""{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"82,True,""{'a': 0, 'e': 0}"",25,19,11.35722112342751,""{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"83,True,""{'a': 0, 'e': 0}"",25,8,29.600068317390438,""{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"84,True,""{'a': 0, 'e': 0}"",20,0,27.15401483140095,""{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}"",0"
"85,True,""{'a': 0, 'e': 0}"",30,11,36.814675908495246,""{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"86,True,""{'a': 0, 'e': 0}"",20,6,25.043471474395215,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"87,True,""{'a': 0, 'e': 0}"",20,6,25.64927805064957,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"88,True,""{'a': 0, 'e': 0}"",30,13,30.885997798863922,""{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"89,True,""{'a': 0, 'e': 0}"",25,18,13.500939216297269,""{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
