trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
29,False,"{'a': 0.1, 'e': 0.27117253504559985}",30,4,-14.199570688191754,"{0: 23, 1: 0, 2: 1, 3: 2, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.2592402606458915}",25,12,-41.18468234313061,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
31,False,"{'a': 0.1, 'e': 0.24783303636722873}",20,0,-78.6725785411185,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
32,False,"{'a': 0.1, 'e': 0.2369277586821218}",30,16,17.473170136903754,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.1, 'e': 0.2265023406764688}",20,10,15.031545126719145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.1, 'e': 0.21653566731600704}",20,0,27.347917758789983,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.1, 'e': 0.20700755268115265}",25,15,-3.089532266780456,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.1978986990836147}",20,12,15.888178721824863,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.1, 'e': 0.18919065798198204}",20,14,9.952446171453309,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.1, 'e': 0.18086579261712207}",25,11,22.20602785079707,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.1, 'e': 0.1729072422917164}",20,2,21.968970095750013,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.1, 'e': 0.1652988882215866}",20,2,34.242503892937,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.1, 'e': 0.1580253208896478}",20,0,26.686577867200334,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.1, 'e': 0.15107180883637086}",25,9,27.750400320466525,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.144424268823542}",20,8,10.192671728835855,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.1, 'e': 0.13806923731089282}",25,18,10.43943722131745,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.13199384318783022}",25,14,18.86680559837415,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.12618578170503877}",25,4,24.165921247062872,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.12063328955315832}",20,0,-11.930522307782091,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
48,False,"{'a': 0.1, 'e': 0.11532512103806251}",20,6,1.9807898774963448,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.1, 'e': 0.11025052530448522}",25,11,4.45934816802192,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.1, 'e': 0.10539922456186433}",20,0,-3.2365775304523354,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.10076139326830373}",20,6,-34.229247416237165,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
52,False,"{'a': 0.1, 'e': 0.09632763823049303}",20,16,8.622171471594285,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.09208897957928118}",20,13,12.787097549583399,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.1, 'e': 0.08803683258237258}",25,13,7.492084134215878,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.08416299025731036}",20,3,27.93916739351376,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.1, 'e': 0.08045960674953243}",25,11,15.382430702291737,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.0769191814418345}",20,8,-25.00006117877356,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.1, 'e': 0.0735345437630571}",25,13,22.945129947259133,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.07029883866522847}",30,0,47.65987878849015,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.1, 'e': 0.06720551273974978}",25,14,18.159179003281157,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
